Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,ODI_BOWLING.Balls,ODI_BOWLING.SR,Player_Name
977,NZ,11,6,11,4,13,7*,0,0,1,1,436,11,4\35,1,0,2,0,New Zealand,432,39.2,HT Davis
978,NZ,4,4,4,1,52,23*,0,0,1,1,203,5,2\30,0,0,1,0,New Zealand,204,40.8,TK Canning
979,NZ,6,6,0,0,55,30,0,0,1,0,0,0,0,0,0,2,0,New Zealand,0,0,MW Douglas
980,NZ,1,0,1,0,0,0,0,0,0,1,38,4,4\38,1,0,0,0,New Zealand,60,15,MJ Henry
981,NZ,5,1,5,1,0,0*,0,0,0,1,232,4,2\22,0,0,1,0,New Zealand,270,67.5,JP Millmow
982,NZ,5,5,0,0,168,63,0,1,0,0,0,0,0,0,0,0,0,New Zealand,0,0,RA Jones
983,NZ,5,3,5,1,23,15,0,0,0,1,201,1,1\50,0,0,1,0,New Zealand,159,159,AJ Penn
984,NZ,1,0,1,0,0,0,0,0,0,1,48,3,3\48,0,0,1,0,New Zealand,72,24,LW Stott
985,NZ,1,1,1,0,22,22,0,0,0,1,37,1,1\37,0,0,0,0,New Zealand,51,51,BR Taylor
986,NZ,3,1,3,1,6,6*,0,0,0,1,105,4,2\28,0,0,0,0,New Zealand,161,40.2,RJ Webb
987,NZ,3,1,3,0,10,10,0,0,0,0,119,4,4\49,1,0,2,0,New Zealand,132,33,MDJ Walker
988,NZ,13,7,12,5,45,16,0,0,0,0,357,12,4\45,1,0,2,0,New Zealand,432,36,PJ Wiseman
989,NZ,7,7,0,0,133,66,0,1,0,0,0,0,0,0,0,1,0,New Zealand,0,0,MD Bell
990,NZ,1,1,1,1,0,0*,0,0,0,0,41,1,1\41,0,0,0,0,New Zealand,66,66,BP Bracewell
991,NZ,2,2,0,1,16,12,0,0,0,0,0,0,0,0,0,1,0,New Zealand,0,0,RW Anderson
992,NZ,2,1,2,0,2,2,0,0,0,0,64,0,0,0,0,0,0,New Zealand,66,0,CE Bulfin
993,NZ,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,New Zealand,0,0,RG Hart
994,NZ,2,2,0,0,67,55,0,1,0,0,0,0,0,0,0,1,0,New Zealand,0,0,V Pollard
995,NZ,2,2,2,2,3,2*,0,0,0,0,143,1,1\76,0,0,0,0,New Zealand,108,108,LJ Hamilton
996,NZ,1,1,1,0,9,9,0,0,0,0,28,1,1\28,0,0,0,0,New Zealand,30,30,MJ Haslam
997,NZ,1,1,1,0,13,13,0,0,0,0,31,0,0,0,0,0,0,New Zealand,42,0,RL Hayes
998,NZ,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,New Zealand,0,0,NM Parker
999,NZ,1,1,1,0,0,0,0,0,1,0,37,0,0,0,0,0,0,New Zealand,48,0,MB Owens
1000,NZ,4,4,0,0,42,26,0,0,1,0,0,0,0,0,0,1,0,New Zealand,0,0,MH Richardson
1001,NZ,4,4,0,0,50,18,0,0,1,0,0,0,0,0,0,0,0,New Zealand,0,0,PA Horne
1002,NZ,1,1,1,0,16,16,0,0,0,0,30,1,1\30,0,0,1,0,New Zealand,56,56,ADG Roberts
1003,NZ,2,1,2,1,1,1*,0,0,0,0,47,0,0,0,0,0,0,New Zealand,42,0,SJ Roberts
1004,NZ,3,3,0,0,37,15,0,0,0,0,0,0,0,0,0,1,0,New Zealand,0,0,DJ White
1005,NZ,2,2,2,1,10,6,0,0,0,0,93,0,0,0,0,1,0,New Zealand,78,0,WA Wisneski
1006,NZ,3,2,3,1,9,6*,0,0,0,0,102,3,1\28,0,0,0,0,New Zealand,132,44,GP Sulzberger
1007,NZ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Zealand,0,0,MD Bailey
1008,NZ,5,5,5,2,35,13*,0,0,0,0,88,3,2\37,0,0,0,0,New Zealand,120,40,AR Tait
